GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - No bedroom,Margin of Error; Median gross rent -- - Total: - No bedroom,Estimate; Median gross rent -- - Total: - 1 bedroom,Margin of Error; Median gross rent -- - Total: - 1 bedroom,Estimate; Median gross rent -- - Total: - 2 bedrooms,Margin of Error; Median gross rent -- - Total: - 2 bedrooms,Estimate; Median gross rent -- - Total: - 3 bedrooms,Margin of Error; Median gross rent -- - Total: - 3 bedrooms,Estimate; Median gross rent -- - Total: - 4 bedrooms,Margin of Error; Median gross rent -- - Total: - 4 bedrooms,Estimate; Median gross rent -- - Total: - 5 or more bedrooms,Margin of Error; Median gross rent -- - Total: - 5 or more bedrooms
1400000US36061012200,36061012200,"Census Tract 122, New York County, New York",2376,332,1997,283,2732,921,2868,334,-,**,-,**,-,**
1400000US36061012400,36061012400,"Census Tract 124, New York County, New York",2233,163,1823,93,2306,210,3005,1043,3458,578,-,**,-,**
1400000US36061012500,36061012500,"Census Tract 125, New York County, New York",3413,272,2953,450,"3,500+",***,"3,500+",***,-,**,-,**,271,132
1400000US36061012600,36061012600,"Census Tract 126, New York County, New York",1896,138,1606,191,2072,363,2251,313,1497,1060,-,**,-,**
1400000US36061012700,36061012700,"Census Tract 127, New York County, New York",1914,185,1565,297,1972,248,2277,410,3145,2352,-,**,-,**
1400000US36061012800,36061012800,"Census Tract 128, New York County, New York",2014,201,2047,1975,1918,336,2047,274,2042,401,-,**,-,**
1400000US36061012900,36061012900,"Census Tract 129, New York County, New York",2417,182,2231,182,2590,293,2246,600,3167,3017,2083,839,-,**
1400000US36061013000,36061013000,"Census Tract 130, New York County, New York",1736,115,1692,130,1811,331,-,**,-,**,-,**,-,**
1400000US36061013100,36061013100,"Census Tract 131, New York County, New York",2642,105,2520,359,2645,220,3129,337,2125,747,-,**,-,**
1400000US36061013200,36061013200,"Census Tract 132, New York County, New York",1924,154,1597,174,2078,148,2195,446,2188,720,-,**,-,**
1400000US36061013300,36061013300,"Census Tract 133, New York County, New York",2177,159,1802,198,2246,252,2404,248,2510,1389,-,**,-,**
1400000US36061013400,36061013400,"Census Tract 134, New York County, New York",1872,229,1828,266,1948,392,1978,605,-,**,-,**,-,**
1400000US36061013500,36061013500,"Census Tract 135, New York County, New York",1347,284,2277,505,1455,1416,974,220,1058,829,-,**,-,**
1400000US36061013600,36061013600,"Census Tract 136, New York County, New York",2203,130,1749,244,2344,214,2263,357,3121,425,-,**,-,**
1400000US36061013700,36061013700,"Census Tract 137, New York County, New York",2848,272,2674,227,3097,144,2820,581,2359,562,-,**,-,**
1400000US36061013800,36061013800,"Census Tract 138, New York County, New York",2146,110,1776,216,2184,161,2374,182,3128,1024,-,**,-,**
